label,qid,track,start,end,score,desc
Saint Patrick,Q165479,44,385,461,71,5th-century Romano-British Christian missionary and bishop in Ireland
Pope Leo I,Q43954,45,390,461,86,Pope from 440 to 461 (390–461)
Leo I (emperor),Q183776,46,401,474,60,Eastern Roman emperor from 457 to 474
Gaiseric,Q152127,47,389,477,61,King of the Vandals and Alans
Julius Nepos,Q103860,48,430,480,71,Roman emperor (430-480)
Proclus,Q271809,49,412,485,49,5th-century Greek Neoplatonist philosopher
Syagrius,Q207499,50,430,487,44,"5th-century Roman general and the last ruler of the Roman rump state in northern Gaul, now called the Kingdom of Soissons"
Zeno (emperor),Q183452,51,425,491,65,Byzantine Emperor (425–491)
Odoacer,Q103333,52,433,493,72,5th-century Germanic soldier and monarch of Italy (476–493)
Chandragupta II,Q844536,53,400,500,44,Ruler of Gupta Empire from c. 375 to c. 415
Buddhaghosa,Q335247,54,401,500,39,"5th-century Indian Theravada Buddhist commentator, translator and philosopher"
Zu Chongzhi,Q227444,55,429,500,38,Chinese mathematician-astronomer
Romulus Augustulus,Q130601,56,462,510,84,last emperor of the Western Roman Empire (475–476)
Clovis I,Q82339,57,466,511,86,first king of the Franks (c. 466-511)
Anastasius I Dicorus,Q173470,58,430,518,61,Byzantine Emperor from 491 to 518
Boethius,Q102851,59,480,525,74,Roman senator and philosopher of the early 6th century (480–524)
Theodoric the Great,Q105105,60,454,526,80,king of the Germanic Ostrogoths and ruler of Italy (493–526)
Anthemius of Tralles,Q298226,61,474,534,42,ancient Greek scientist and architect
Isidore of Miletus,Q310028,62,442,537,40,Byzantine Greek architect
Bodhidharma,Q187172,63,483,540,61,Indian-Chinese philosopher and Buddhist Monk
Tribonian,Q310628,64,475,542,34,Byzantine jurist (c. 485–542)
Imru' al-Qais,Q1051776,65,501,544,33,Arab king and poet (501–544)
Clotilde,Q232365,66,474,545,42,saint and second wife of the Frankish king Clovis I
Benedict of Nursia,Q44265,67,480,547,79,"founder of Christian monasticism, founder of the Benedictine order (480–547)"
Theodora (wife of Justinian I),Q204843,68,500,548,60,Byzantine empress from 527 to 548
Dionysius Exiguus,Q274091,69,475,550,44,Byzantine saint
Aryabhata,Q11359,70,476,550,92,Indian mathematician-astronomer
Bumin Qaghan,Q29001,71,490,552,31,founder of the Turkic Khaganate
Totila,Q159707,72,510,552,50,king of the Ostrogoths and King of Italy (541–552)
Romanos the Melodist,Q221059,73,490,556,33,Greek hymnographer
Justinian I,Q41866,74,482,565,104,Eastern Roman Emperor who ruled from 527 to 565 (482-565)
Procopius,Q186153,75,500,565,57,6th-century historian
Belisarius,Q174943,76,505,565,67,6th century Byzantine general instrumental in reconquest of much of the former Roman Mediterranean territories (505-565)
John Philoponus,Q317632,77,490,570,36,Byzantine philologist and philosopher (c. 490–c. 570)
Alboin,Q152877,78,530,572,40,King of the Lombards
Khosrow I,Q207381,79,501,579,61,Shahanshah of the Sasanian Empire from 531 to 579
Gregory of Tours,Q67841,80,538,594,47,Gallo-Roman historian and Bishop of Tours
Columba,Q236326,81,521,597,53,Gaelic Irish missionary monk
Pope Gregory I,Q42827,82,540,604,95,"64th Bishop of Rome, Head of the Roman Catholic Church from 590 to 604"
Emperor Wen of Sui,Q7418,83,541,604,41,founding emperor of the Sui Dynasty (541-604)
Augustine of Canterbury,Q32520,0,550,605,48,"6th-century missionary, archbishop, and saint"
Antarah ibn Shaddad,Q771877,1,525,608,33,Arabian warrior and poet
Emperor Yang of Sui,Q7419,2,569,617,35,emperor of the Sui Dynasty
Khadija bint Khuwaylid,Q42034,3,557,619,90,"First wife of Prophet Muḥammad ﷺ, First believer in Islam and Prophet Muhammad’s most beloved wife"
Hamza ibn Abd al-Muttalib,Q770033,4,568,625,46,Muhammad's companion and uncle (c.  568–625)
Khosrow II,Q212732,5,570,628,58,The 24th Sassanid emperor (590–628)
Chlothar II,Q209118,6,584,629,53,King of Neustria
Muhammad,Q9458,7,571,632,229,Arabian political leader and the founder of Islam (c. 570–632)
Fatima,Q180123,8,604,632,92,daughter of Muhammad (c. 605–632)
Abu Bakr,Q334923,9,573,634,112,1st Rashidun Caliph and father-in-law of Muhammad
Isidore of Seville,Q166876,10,560,636,71,"Hispano-Roman scholar, theologian and bishop (c. 560–636)"
Pope Honorius I,Q170502,11,585,638,77,pope
Abu Sufyan ibn Harb,Q335430,12,580,640,51,Quraysh tribal leader and merchant (c. 560 – 653)
Heraclius,Q41852,13,575,641,86,Byzantine emperor from 610 to 641
Bilal ibn Rabah,Q493136,14,581,642,61,companion of Muhammad and first Islamic mu'azzin (c.580–640)
Khalid ibn al-Walid,Q26918,15,592,642,69,Arab Muslim military general (d. 642)
Umar,Q8467,16,586,644,139,2nd Rashidun Caliph from 634 to 644
Emperor Taizong of Tang,Q9701,17,598,649,51,Chinese emperor of the Tang Dynasty (598-649) (r. 626-649)
Yazdegerd III,Q208463,18,624,652,52,The 27th and last Sasanian emperor (632–651)
Abbas ibn Abd al-Muttalib,Q293599,19,568,653,58,Paternal uncle of Muhammad (c.565–c.653)
Uthman,Q37731,20,574,656,98,Caliph of the Rashidun Caliphate from 644 to 656
Zubayr ibn al-Awwam,Q293565,21,594,656,51,companion of Muhammad (594–656)
Salman the Persian,Q557378,22,568,657,50,companion of Muhammad; first Persian convert to Islam
Ali,Q39619,23,599,661,126,4th Rashidun Caliph (r. 656–661) and first Shia Imam
Xuanzang,Q42063,24,602,664,68,7th-century Chinese Buddhist monk and scholar (602–664)
Constans II,Q41613,25,630,668,61,Byzantine Emperor from 641 to 668
Hasan ibn Ali,Q182914,26,625,669,72,5th Rashidun Caliph (r. 661) and second Shia Imam
Brahmagupta,Q202943,27,598,670,117,Indian mathematician and astronomer (c. 598 – c. 668 CE)
Aisha,Q4730963,28,605,678,97,Muhammad's third wife (c. 613/614 – 678)
Abu Hurayra,Q69326,29,602,679,47,companion of Muhammad
Mu'awiya I,Q181154,30,603,680,83,founder and first caliph of the Umayyad Caliphate (r. 661–680)
Husayn ibn Ali,Q112128,31,626,680,88,grandson of Muhammad and the 3rd Shia Imam (626–680)
Yazid I,Q217442,32,646,683,62,second caliph of the Umayyad caliphate (646-683)
Anania Shirakatsi,Q471769,33,610,685,32,Armenian scientist
Ibn Abbas,Q423600,34,619,688,51,7th-century Islamic scholar
Abd Allah ibn al-Zubayr,Q307665,35,624,692,54,historical Arab ruler (624-692)
Abd Allah ibn Umar ibn al-Khattab,Q2046261,36,610,693,41,Companion of Muhammad and authority in hadith and law (c.610-693)
Asparuh of Bulgaria,Q189450,37,640,701,54,Bulgarian ruler
Kahina,Q284295,38,668,703,41,Amazigh queen
Wu Zetian,Q9738,39,624,705,67,founding empress of Zhou dynasty (r. 690–705); de facto ruler of Tang dynasty from 665 to 690
Abd al-Malik ibn Marwan,Q36788,40,646,705,68,Umayyad caliph from 685 to 705
Kakinomoto no Hitomaro,Q380818,41,662,710,30,Japanese poet
Huineng,Q345012,42,638,713,30,semi-legendary Chinese Chan patriarch
Ali al-Sajjad,Q314978,43,659,713,46,Great-grandson of Muhammad and the fourth of the Shiite Imams
Pepin of Herstal,Q91392,44,645,714,44,Mayor of the Palace (635-714)
Al-Hajjaj ibn Yusuf,Q293460,45,661,714,38,Umayyad governor and viceroy (c.661-714)
Tariq ibn Ziyad,Q230497,46,670,720,58,8th-century Muslim general
Hasan al-Basri,Q293500,47,642,728,37,"Arab Muslim scholar, theologian, preacher and judge (c.642–728)"
Pope Gregory II,Q103321,48,669,731,78,89th Pope of the Catholic Church (from 715 to 731)
Abd al-Rahman ibn Abd Allah al-Ghafiqi,Q220228,49,650,732,38,Muslim general
Muhammad al-Baqir,Q311153,50,677,733,41,Fifth of the Twelve Shia Imams
Bede,Q154938,51,672,735,70,"Anglo-Saxon monk, writer and saint (672/3–735)"
Zayd ibn Ali,Q144287,52,695,740,30,Alid political and religious leader (c.695–740)
Leo III the Isaurian,Q31755,53,675,741,68,emperor of Byzantine Empire
Charles Martel,Q3301,54,688,741,83,Frankish military and political leader (c. 688–741)
"Liutprand, King of the Lombards",Q251836,55,680,744,38,Lombard king
John of Damascus,Q51884,56,675,749,67,"Christian monk, priest, hymnographer and apologist (675/6-749)"
An Lushan,Q360559,57,703,757,37,Chinese general and emperor of Yan
Wang Wei,Q313605,58,699,759,42,"Chinese poet, musician, painter, and statesman"
Emperor Xuanzong of Tang,Q9746,59,685,762,42,"7th emperor of the Tang dynasty, reigning from 713 to 756 CE"
Li Bai,Q7071,60,701,762,160,Classical Chinese poet of the Tang dynasty (701–762)
Padmasambhava,Q231582,61,717,762,56,8th-century Buddhist Lama
Ja'far al-Sadiq,Q170046,62,702,765,65,Muslim scholar and Imam (died 765)
Abu Hanifa,Q190896,63,699,767,80,8th-century Sunni theologian and jurist
Pepin the Short,Q81212,64,715,768,82,King of the Franks from 751 to 768
Du Fu,Q33772,65,712,770,119,Tang dynasty Chinese poet (712–770)
Constantine V,Q41635,66,718,775,59,emperor of Byzantium
Roland,Q207535,67,737,778,57,Frankish knight
Abd al-Rahman I,Q29000,68,731,788,60,Emir of Córdoba from 756 to 788
Malik ibn Anas,Q312299,69,711,795,67,"Arab Islamic jurist, theologian and hadith traditionist (711–795)"
Trisong Detsen,Q366661,70,742,798,31,Emperor of Tibet
Musa al-Kazim,Q315031,71,745,799,41,seventh of the Twelve Imams (745–799 CE)
Irene of Athens,Q206737,72,752,803,63,empress of Byzantine Empire (752-803)
Alcuin,Q154332,73,724,804,54,"8th-century Northumbrian scholar, clergyman, poet, and teacher"
Harun al-Rashid,Q131002,74,766,809,85,5th Abbasid caliph (r. 786–809)
Charlemagne,Q3044,75,748,814,168,"king of Franks, regarded as the first Holy Roman Emperor (747–814) (742-814)"
Krum,Q192104,76,755,814,49,Bulgarian ruler
Abu Nuwas,Q5670,77,756,814,148,8th-century classical Arabic poet
Jabir ibn Hayyan,Q167852,78,721,815,91,8th-century Islamic alchemist and author
Pope Leo III,Q132086,79,750,816,80,Pope of the Catholic Church from 795 to 816 (born 750–816)
Ali al-Rida,Q25105,80,770,818,47,eighth of the Twelve Shia Imams (766–818)
Al-Shafi'i,Q294281,81,767,820,66,"Arab Muslim theologian, writer and scholar (767–820)"
Adi Shankara,Q180967,82,788,820,81,8th-century Hindu philosopher and theologian- Restorer of “Dashanami Sampradaya”
Thomas the Slav,Q313838,83,800,823,35,Byzantine military commander (c. 760–823)
Han Yu,Q318998,84,768,824,45,"Chinese historian, poet, philosopher and politician (768–824)"
Al-Ma'mun,Q61056,85,786,833,57,"Abbasid caliph (786–833, r. 813–833)"
Kūkai,Q222227,86,774,835,43,"Japanese Buddhist monk and calligrapher, the founder of the Shingon school (774–835)"
Babak Khorramdin,Q379997,87,798,838,41,9th-century Iranian revolutionary leader
Ibn al-Muqaffa',Q1060637,88,724,840,30,8th-century Persian author and translator
Louis the Pious,Q43974,89,778,840,82,King of the Franks
Al-Mu'tasim,Q284550,90,796,842,49,8th Abbasid Caliph. (r. 833–842)
Abu Tammam,Q1750054,91,804,845,35,Muslim Arab poet of Abbasid era (died 850)
Al-Khwarizmi,Q9038,92,750,846,152,9th-century Persian mathematician and astronomer
Bai Juyi,Q313324,93,772,846,48,Chinese poet of the Tang Dynasty (772-846)
Ahmad ibn Hanbal,Q194442,0,780,855,72,Muslim jurist and theologian (780–855)
Lothair I,Q150735,1,795,855,65,Emperor of the Carolingian Empire from 817 to 855
Kenneth MacAlpin,Q298263,2,810,858,55,King of the Picts
Al-Jahiz,Q293497,3,775,868,47,Arabic writer (776–869)
Ali al-Hadi,Q315377,4,829,868,34,tenth of the Twelve Shia Imams (828–868)
Al-Kindi,Q179759,5,801,870,74,"Muslim Arab philosopher, mathematician and physician (c.801–873)"
Muhammad al-Bukhari,Q241026,6,810,870,76,Persian Islamic scholar (810-870)
Hunayn ibn Ishaq,Q503130,7,808,873,35,"Arab Christian scholar, physician and scientist (809–873)"
Muslim ibn al-Hajjaj,Q140124,8,817,875,62,Arab Muslim hadith scholar (821–875)
Louis II of Italy,Q215204,9,825,875,57,Ruler of the Holy Roman Empire from 844 to 875
John Scotus Eriugena,Q184500,10,800,877,51,Irish Catholic philosopher and theologian (c. 800 – c. 877)
Charles the Bald,Q71231,11,823,877,79,King of West Francia from 843 to 877 and Carolingian Emperor from 875 to 877
Rurik,Q7990,12,830,879,70,Varangian chieftain (c. 830-879)
Ahmad ibn Tulun,Q374374,13,835,884,33,Emir of Egypt and Syria from 868 to 884
Basil I,Q41592,14,811,886,59,Byzantine emperor from 867 to 886
Abbas ibn Firnas,Q305975,15,810,887,56,9th century astronomer and physician
Charles the Fat,Q150712,16,839,888,70,Emperor of the Carolingian Empire (839-888) (r. 881-887)
Abu Hanifa Dinawari,Q293520,17,828,895,34,Persian Islamic polymath (died 895)
Alfred the Great,Q83476,18,849,899,93,king of Wessex (r. 872–901)
Al-Mu'tadid,Q284567,19,854,902,41,16th Abbasid Caliph from 892 to 902
Boris I of Bulgaria,Q311057,20,828,907,44,Bulgarian ruler
Árpád,Q210207,21,845,907,53,Grand Prince of the Hungarians
Ingólfr Arnarson,Q209138,22,848,910,51,Viking settler of Iceland
Oleg the Wise,Q6131983,23,845,912,63,prince of Kiev
Budai,Q599838,24,850,916,40,figure in Buddhist and East Asian religious traditions
Al-Tabari,Q192124,25,839,922,61,"Iranian scholar, historian and commentator on the Qur'an (839–923)"
Edward the Elder,Q187114,26,874,924,58,king of the Anglo-Saxons (r. 899–924)
Abu Bakr al-Razi,Q169234,27,866,925,88,"Persian polymath, physician, chemist and philosopher (854-925)"
Simeon I of Bulgaria,Q192264,28,864,927,59,Bulgarian Tsar who ruled from 893 to 927
Pope John X,Q227976,29,860,929,72,10th-century pope
Rollo,Q273773,30,846,932,54,10th-century Viking and Count of Rouen
Harald Fairhair,Q206123,31,851,933,51,King of Norway
Abu al-Hasan al-Ash'ari,Q316349,32,873,935,46,Muslim theologian (874–936)
"Wenceslaus I, Duke of Bohemia",Q196527,33,907,935,47,duke and saint
Henry the Fowler,Q150620,34,876,936,64,King of East Francia (919–936); Duke of Saxony (912–936)
Æthelstan,Q170017,35,895,939,71,King of Wessex and first king of England (r. 924-939)
Rudaki,Q312954,36,859,941,61,"Persian poet, the father of Persian poetry"
Saadia Gaon,Q328748,37,882,942,37,"rabbi, translator, Jewish philosopher and theologian (0882-0942) active during the Abbasid Caliphate in Egypt and Irak"
Taejo of Goryeo,Q334312,38,877,943,38,founder of the Goryeo Dynasty (877-943)
Abu Mansur al-Maturidi,Q12827721,39,893,944,34,Persian Muslim theologian (853–944)
Edmund I,Q190166,40,920,946,59,King of England (r. 939–946)
Al-Farabi,Q160460,41,872,951,83,10th century Persian philosopher and jurist
Eadred,Q191767,42,923,955,58,King of England (r. 946–955)
Al-Masudi,Q168705,43,896,957,64,"10th-century Arab historian, geographer, and traveller"
Constantine VII,Q41608,44,905,959,60,Byzantine emperor
Eadwig,Q191203,45,940,959,58,King of the English (r. 955–959)
Abd al-Rahman III,Q190418,46,891,961,58,final Emir of Córdoba (r. 912–929); founder and 1st Caliph of Córdoba (r. 929–961)
Al-Mutanabbi,Q284542,47,920,965,35,Arab poet (c. 915 – 965)
Hrotsvitha,Q170248,48,935,968,32,"German secular canoness, dramatist, and poet"
Olga of Kiev,Q193198,49,890,969,59,"princess of Kiev, Orthodox saint (c. 890–925)"
Nikephoros II Phokas,Q41625,50,912,969,54,Byzantine emperor from 963 to 969
Sviatoslav I,Q1058572,51,942,972,72,Prince of Kiev
Otto the Great,Q43915,52,912,973,86,Holy Roman Emperor from 962 to 973
Gwangjong of Goryeo,Q469387,53,925,975,32,Goryeo ruler (925-975)
Al-Mu'izz li-Din Allah,Q335443,54,931,975,34,4th Caliph of the Fatimid dynasty (r. 953–975)
"Edgar, King of England",Q192925,55,943,975,57,King of the English (r. 959–975)
Emperor Taizu of Song,Q7471,56,927,976,41,founding emperor of the Song Dynasty (reigned 960-976)
"Otto II, Holy Roman Emperor",Q150512,57,955,983,62,Holy Roman Emperor from 973 to 983 and King of Italy from 980 to 983
Harald Bluetooth,Q201041,58,911,985,57,King of Denmark and Norway
Abd al-Rahman al-Sufi,Q11075,59,903,986,54,Persian astronomer (903-986)
Hugh Capet,Q159575,60,940,996,78,King of the Franks
"Otto III, Holy Roman Emperor",Q151090,61,980,1002,59,Holy Roman Emperor from 996 to 1002
Erik the Red,Q172345,62,950,1003,65,explorer and founder of the first viking settlement in Greenland
Al-Zahrawi,Q311495,63,936,1010,53,"Arab Andalusian physician, surgeon and chemist (936–1013)"
Almanzor,Q334861,64,938,1010,38,Arab Andalusian military leader and statesman (c.938-1002)
Samuel of Bulgaria,Q270740,65,958,1014,43,Tsar of Bulgaria from 997 to 1014
Murasaki Shikibu,Q81731,66,973,1014,144,Japanese novelist and poet (c.973–c.1014)
Vladimir the Great,Q14974,67,958,1015,75,Grand Prince of Kiev
Æthelred the Unready,Q183499,68,967,1016,59,King of England
Ferdowsi,Q43459,69,940,1020,104,"Persian poet, author of Shahnameh (940–1020)"
Leif Erikson,Q42838,70,972,1020,102,norse explorer (c. 970 – c. 1020)
Al-Hakim bi-Amr Allah,Q342137,71,985,1021,45,6th Fatimid caliph (r. 996–1021) and 16th Ismaili Imam
Basil II,Q41833,72,958,1025,67,Byzantine Emperor from the Macedonian dynasty
Sei Shōnagon,Q231603,73,966,1025,60,Japanese author and court lady
Bolesław I the Brave,Q53436,74,967,1025,63,first King of Poland (967–1025)
Mahmud of Ghazni,Q189271,75,971,1030,64,Sultan of the Ghaznavid Empire from 998 to 1030
Sancho III of Pamplona,Q296652,76,985,1035,39,King of Pamplona and ruler of Aragon from 1004 to 1035
Cnut,Q134128,77,994,1035,76,"11th-century King of Denmark, Norway, and England"
Avicenna,Q8011,78,980,1037,162,"Persian polymath, physician and philosopher (c. 980–1037)"
Ibn al-Haytham,Q11104,79,965,1038,92,"Persian physicist, mathematician and astronomer (c. 965 – c. 1040)"
Stephen I of Hungary,Q177903,80,969,1038,70,11th-century king of Hungary and saint
"Conrad II, Holy Roman Emperor",Q152256,81,990,1039,53,Holy Roman Emperor
Harold Harefoot,Q188627,82,1016,1040,57,King of England from 1035 to 1040
Harthacnut,Q190091,83,1018,1042,54,"King of England from 1040 to 1042, King of Denmark from 1035 à 1042"
Al-Biruni,Q11826,84,973,1048,96,11th-century Persian scholar and polymath (973–1048)
Guido of Arezzo,Q192238,85,992,1050,59,"11th century Italian monk, inventor of modern musical notation"
Yaroslav the Wise,Q188943,86,978,1054,64,Grand Prince of Kiev from 1019 to 1054
Atiśa,Q320150,87,982,1054,40,Bengali Buddhist scholar
Pope Leo IX,Q58559,88,1002,1054,71,Head of the Catholic Church from 1049 to 1054
Constantine IX Monomachos,Q30594,89,1000,1055,53,Byzantine emperor (1000-1055)
"Henry III, Holy Roman Emperor",Q153023,90,1016,1056,56,Holy Roman Emperor
"Macbeth, King of Scotland",Q244403,91,1005,1057,55,King of Scotland from 1040 to 1057
Henry I of France,Q178908,92,1008,1060,64,king of the Franks from 1031 to 1060 (1008–1060)
Tughril I,Q144565,93,990,1063,53,Founder of the Seljuk Empire (1037–1063)
Harald Hardrada,Q203647,94,1015,1066,60,King of Norway from 1046 to 1066
Harold Godwinson,Q159597,95,1022,1066,73,Anglo-Saxon King of England in 1066
Lady Godiva,Q106077,96,990,1067,57,"Anglo-Saxon noblewoman, Countess of Leicester"
Alp Arslan,Q200193,97,1029,1072,62,second sultan of the Seljuk Empire (1063–1072)
Robert Guiscard,Q203792,98,1016,1085,51,Duke of Apulia and Calabria
Pope Gregory VII,Q133063,99,1020,1085,80,Pope of the Catholic Church from 1073 to 1085
Wang Anshi,Q319618,100,1021,1086,40,Song Dynasty chancellor and poet (1021-1086)
William the Conqueror,Q37594,101,1028,1087,107,"King of England from 1066 to 1087, Duke of Normandy from 1035 to 1087 (1028–1087)"
Malcolm III of Scotland,Q68508,102,1031,1093,49,King of Scotland from 1058 to 1093
Shen Kuo,Q270085,103,1031,1095,58,Chinese scientist and statesman (1031-1095)
Pope Urban II,Q30578,104,1035,1099,89,11th century pope and initiator of the Crusades
William II of England,Q102005,105,1060,1100,69,King of England from 1087 to 1100
Godfrey of Bouillon,Q76721,106,1060,1100,67,Medieval Frankish knight
Władysław I Herman,Q54046,107,1043,1102,35,Duke of Poland (1043-1102)
Rashi,Q26456,0,1040,1105,48,French rabbi and commentator (1040–1105)
Yusuf ibn Tashfin,Q369981,1,1009,1106,42,"Leader of the Almoravid dynasty (r. 1061–1106), founder of Marrakech and a key figure in consolidating power in southern Morocco before expanding into Al-Andalus."
"Henry IV, Holy Roman Emperor",Q60094,2,1050,1106,67,Holy Roman Emperor from 1084 to 1105
Philip I of France,Q58907,3,1052,1108,63,king of the Franks from 1060 to 1108
Anselm of Canterbury,Q43939,4,1033,1109,72,"11th‑century Benedictine monk, Archbishop of Canterbury, philosopher and theologian"
Alfonso VI of León and Castile,Q235080,5,1040,1109,47,"King of León (1065 to 1109), of Castile (1072 to 1109), and of Galicia (1071 to 1109)"
Al-Ghazali,Q9546,6,1058,1111,123,Persian Sunni Muslim scholar and mystic (c.1058–1111)
"Coloman, King of Hungary",Q83066,7,1070,1116,43,king of Hungary (1095-1116)
Alexios I Komnenos,Q41600,8,1048,1118,69,Byzantine emperor (1048–1118)
Pope Paschal II,Q227967,9,1050,1118,68,Head of the Catholic Church from 1099 to 1118
Baldwin I of Jerusalem,Q51717,10,1058,1118,49,King of Jerusalem from 1100 to 1118
Hasan-i Sabbah,Q124745907,11,1037,1124,46,The founder of the Ismaili state of Alamut and the Imam of the Nizari Ismailis (1081–1124)
David IV,Q36760,12,1073,1125,53,King of Georgia (1073-1125)
"Henry V, Holy Roman Emperor",Q151707,13,1086,1125,54,"King of Germany and Holy Roman Emperor, the fourth and last ruler of the Salian dynasty"
Omar Khayyam,Q35900,14,1048,1131,115,Persian mathematician and poet (1048–1131)
Henry I of England,Q101384,15,1068,1135,75,King of England from 1100 to 1135 (1068–1135)
"Lothair III, Holy Roman Emperor",Q77189,16,1075,1137,48,Holy Roman Emperor from 1133 to 1137
Louis VI of France,Q165883,17,1081,1137,63,king of the Franks from 1108 to 1137
Avempace,Q11362,18,1095,1139,52,Arab Andalusian polymath (c. 1085 – 1138)
Peter Abelard,Q4295,19,1079,1142,76,"French scholastic philosopher, theologian and preeminent logician (c.1079-1142)"
John II Komnenos,Q41628,20,1087,1143,57,Byzantine Emperor from 1118 to 1144
Geoffrey of Monmouth,Q188344,21,1100,1150,58,"Historian and Bishop of St Asaph, Wales (c.1095–1155)"
Anna Komnene,Q179284,22,1083,1153,57,Byzantine princess and historian
David I of Scotland,Q216787,23,1084,1153,53,King of Alba from 1124 to 1153
Bernard of Clairvaux,Q188411,24,1090,1153,67,"Burgundian saint, abbot and theologian (1090-1153)"
"Stephen, King of England",Q60849,25,1095,1154,65,King of England from 1135 to 1154
Roger II of Sicily,Q193901,26,1095,1154,51,King of Sicily from 1130 to 1154
Abdul Qadir Gilani,Q307365,27,1078,1166,54,"Sunni Muslim preacher, mystic and jurist (1078–1166)"
Muhammad al-Idrisi,Q173441,28,1110,1166,84,andalusian geographer (1100–1165)
Empress Matilda,Q150872,29,1102,1167,66,Holy Roman Empress (1114–1125); claimant to the English throne
Thomas Becket,Q192236,30,1119,1170,60,"English archbishop and martyr, 1119/1120–1170"
Hildegard of Bingen,Q70991,31,1098,1179,91,"German Benedictine abbess, polymath, mystic and Doctor of Church (1098–1179)"
Manuel I Komnenos,Q41610,32,1118,1180,70,Byzantine Emperor
Louis VII of France,Q134259,33,1120,1180,70,King of France from 1137 to 1180 (1120–1180)
Pope Alexander III,Q160116,34,1100,1181,78,pope of the Catholic Church from 1159 to 1181
Chrétien de Troyes,Q4302,35,1135,1181,62,12th century French poet and trouvère
Henry the Young King,Q235238,36,1155,1183,52,second of five sons of King Henry II of England and Eleanor of Aquitaine
Afonso I of Portugal,Q587697,37,1109,1185,67,king of Portugal from 1139 to 1185
Ibn Tufayl,Q251259,38,1110,1185,49,Arab Muslim polymath (c. 1105–1185)
Bhāskara II,Q213385,39,1114,1185,59,Indian mathematician and astronomer (c.1114–1185)
Henry II of England,Q102140,40,1133,1189,81,King of England from 1154 to 1189
Frederick Barbarossa,Q79789,41,1122,1190,93,Holy Roman Emperor from 1155 to 1190
Saladin,Q8581,42,1138,1193,144,Sultan of Egypt and founder of the Ayyubid dynasty (1137–1193)
Guy of Lusignan,Q294192,43,1150,1194,47,French Poitevin knight and King of Jerusalem by right of marriage (c.1150–1194) (r. 1186–1192)
Henry the Lion,Q105378,44,1129,1195,51,"Welf dynasty, Duke of Saxony, as Henry III, and Duke of Bavaria, as Henry XII (1129-1195)"
Averroes,Q39837,45,1126,1198,112,Arab Andalusian Muslim writer and philosopher (1126–1198)
Minamoto no Yoritomo,Q242800,46,1147,1199,49,1st shogun of the Kamakura shogunate (1147–1199)
Richard I of England,Q42305,47,1157,1199,100,King of England from 1189 to 1199 (1157–1199)
Zhu Xi,Q9397,48,1130,1200,113,"Chinese historian, Neoconfucian philosopher, poet, and politician during the Song dynasty (1130–1200)"
Eleanor of Aquitaine,Q178525,49,1124,1204,64,Queen consort of France; Queen consort of England; suo jure Duchess of Aquitaine; patroness
Maimonides,Q127398,50,1138,1204,87,Medieval Jewish philosopher from Spain (1135–1204)
Enrico Dandolo,Q205688,51,1107,1205,46,Doge of Venice (1107-1205)
Muhammad of Ghor,Q1647182,52,1144,1206,44,ruler of Ghurid Sultanate from 1173 to 1206
Nizami Ganjavi,Q234908,53,1141,1209,72,Persian poet
Arnaut Daniel,Q4344,54,1150,1210,45,Occitan troubadour
Pope Innocent III,Q128076,55,1160,1216,84,Head of the Catholic Church from 1198 to 1216
"John, King of England",Q129308,56,1166,1216,87,King of England from 1199 to 1216
Shota Rustaveli,Q132984,57,1172,1216,79,Georgian poet
"Otto IV, Holy Roman Emperor",Q151457,58,1175,1218,56,Holy Roman Emperor from 1209 to 1218
Saint Dominic,Q44091,59,1170,1221,66,founder of the Dominican Order (1170–1221)
Philip II of France,Q34428,60,1165,1223,77,"King of France, and the first to be called by that title (1165–1223)"
Francis of Assisi,Q676555,61,1182,1226,106,"Italian Catholic saint, friar, deacon and preacher and founder of the Franciscan Order (1181/2–1226)"
Louis VIII of France,Q165284,62,1187,1226,71,King of France 1223-1226 (1187–1226)
Genghis Khan,Q720,63,1162,1227,181,founder and first khan of the Mongol Empire (1162–1227)
Jochi,Q186581,64,1182,1227,63,military leader; eldest son of Genghis Khan
Pérotin,Q206275,65,1155,1230,46,French composer
Anthony of Padua,Q167477,66,1195,1231,72,"Franciscan saint, Doctor of the Church (1195–1231)"
Tolui,Q7517,67,1191,1232,55,son of Genghis Khan and regent of the Mongol Empire (c.1191 – 1232)
Fibonacci,Q8763,68,1170,1240,118,Italian mathematician (c.1170–c.1240/50)
Pope Gregory IX,Q124831,69,1160,1241,76,pope of the Catholic Church from 1227 to 1241
Snorri Sturluson,Q102323,70,1179,1241,68,"Icelandic historian, poet and politician (AD 1179–1241)"
Ögedei Khan,Q7519,71,1186,1241,81,Khan of the Mongol Empire (c.1186-1241) (r. 1229-1241)
"Frederick II, Holy Roman Emperor",Q130221,72,1194,1250,81,"King of Sicily, Holy Roman Emperor (1194–1250, 1220–1250)"
Giovanni da Pian del Carpine,Q315149,73,1182,1252,47,Roman Catholic archbishop and traveller (1182–1252)
Batu Khan,Q175138,74,1205,1255,77,Khan of the Golden Horde
Möngke Khan,Q7521,75,1209,1259,55,Fourth Great Khan of the Mongol Empire
Alexander Nevsky,Q174044,76,1220,1263,75,political and military figure of Kievan Rus' (1246–1263)
Hulegu Khan,Q177320,77,1217,1265,77,Western Asian Mongol ruler (c. 1217–1265)
