Q3425816	French criminal and writer (1899–1959)
Q3183674	American stockbroker
Q315507	Argentine politician and military leader
Q720027	American football coach (born 1952)
Q192885	Russian literary critic
Q174943	6th century Byzantine general instrumental in reconquest of much of the former Roman Mediterranean territories (505-565)
Q505479	Canadian ice hockey player (1931–2014)
Q233974	British astrophysicist (born 1943)
Q4355602	American broadcaster (1945-2018)
Q451727	Scottish physician, painter and theologian (1774–1842)
Q316330	American sociologist (1919–2011)
Q5262976	American lawyer, professor, and civil rights activist (1930–2011)
Q231360	British traveller, writer, mountaineer, politician, archaeologist and spy (1868–1926)
Q179908	President of Algeria from 1963 to 1965
Q298664	Catholic cardinal, saint, and Doctor of the Church
Q18420	French writer, poet, literary critic, and member of the Pléiade (1522–1560)
Q697511	Marshal of France (1684-1761)
Q333814	French actor
Q12498215	actress
Q76754	Baltic German officer in the Imperial Russian Navy, cartographer and explorer (1778–1852)
Q290407	Italian painter of the renaissance (1429–1507)
Q17169	15th- and 16th-century Italian Renaissance painter (1430–1516)
Q170209	Italian opera composer (1801–1835)
Q312498	Swedish poet, songwriter and composer (1740–1795)
Q441199	American mathematician (1920–1984)
Q106255	French actor (1933–2021)
Q448169	American suffragette and socialite (1853–1933)
Q715596	Spanish bullfighter (1892–1962)
Q234001	Roman Catholic bishop
Q435891	Soviet professional basketball player (1944-2013)
Q23858	American actor (1949–1982)
Q212632	Russian poet, writer and critic (1880–1934)
Q497925	Soviet writer (1884–1942)
Q180339	Italian antiquarian (1778-1823)
Q76414	author of Madeline books (1939-1999)
Q3946617	American historian (1891–1973)
Q204487	Tunisian politician
Q181728	Russian hebrew linguist, grammarian, journalist, lexicographer, newspaper editor and Zionist activist
Q2739019	cricketer (1930–2015)
Q83184	Spanish writer (1866-1954)
Q129005	President of Peru (1876-1945)
Q4083859	Argentine film actress (1914–2016)
Q720012	American comic book writer and artist
Q16285	Uruguayan journalist, novelist, and poet (1920-2009)
Q126711	pope of the Catholic Church from 1740 to 1758
Q4448	Pope of the Catholic Church from 1914 to 1922
Q2494	265 th pope of the Catholic Church (2005–2013)
Q228822	American anthropologist and folklorologist (1887-1948)
Q152274	Czechoslovak politician (1884-1948)
Q557565	Mbuti pygmy featured in an anthropology exhibit in 1904
Q1320604	French writer (1908–2001)
Q23301	Italian actor, comedian, screenwriter and film director (born 1952)
Q503997	American writer and producer (born 1970)
Q318820	Jewish explorer and writer
Q185435	German/American endocrinologist and sexologist
Q61078	German cultural critic, philosopher and social critic (1892–1940)
Q316898	Japanese warrior monk
Q332412	British politician (1925–2014)
Q817828	Eora interlocutor with the British in Australia and the United Kingdom
Q3780149	American writer (1902–1981)
Q1343611	American publisher (1795-1872)
Q725172	American publisher (1841–1918)
Q128641	11th Prime Minister of Canada (1870-1947)
Q296729	American singer (1926–2023)
Q148732	American comedic entertainer (1894–1974)
Q44292	Canadian professional wrestler and murderer (1967–2007)
Q1351104	American playwright (1916–2020)
Q712899	English classical scholar, critic and theologian and Master of Trinity College, Cambridge (1662–1742)
Q471764	American painter (1889–1975)
Q1317969	State Senator from Tennessee, Senator and U.S. Representative from Missouri (1782–1858)
Q77117	German automobile pioneer, with husband Karl Benz (1849–1944)
Q51874548	3rd President of Turkmenistan since 2022
Q57530	Turkmen politician and president of Turkmenistan (2006–2022)
Q274606	Holy Roman Emperor from 915 to 924
Q359047	American art critic and collector (1865-1959)
Q6779039	American art historian
Q332633	British soldier and politician (1768-1854)
Q311019	Russian oligarch, government official, engineer and mathematician (1946-2013)
Q2543495	American talk radio show host (1934–1984)
Q78475	Austrian composer (1885–1935)
Q453588	American golfer (1918–2006)
Q106942	American actress
Q721957	American actor, radio performer, comedian and ventriloquist (1903-1978)
Q167056	Swedish video game programmer (born 1979)
Q382604	British painter, writer and art critic (1926-2017)
Q237518	Soviet poet
Q185389	Dutch association football player (born 1969)
Q141829	Soviet politician and NKVD police chief
Q221450	Italian composer (1925–2003)
Q57625	Albanian politician
Q195390	Russian-American anarchist and writer (1870–1936)
Q352717	American serial killer
Q558933	American comedian and actor (1908–2002)
Q1314603	American mathematician (1940-2019)
Q11860	Italian politician and media tycoon (1936–2023)
Q2620610	American comedian, actor, writer, and teacher (1925–2017)
Q116630	President of Peru (1921–2022)
Q3547025	Filipino director (1938–1996)
Q201795	American economist (born 1953)
Q315072	French writer (1888–1948)
Q188411	Burgundian saint, abbot and theologian (1090-1153)
Q3545867	Filipino actress (born 1996)
Q326108	American businessman
Q62991	German historian (1850–1942)
Q826719	family from Basel known for its mathematicians in the 17th/18th century
Q319967	American journalist (born 1944)
Q5298509	American mathematician (1914–1988)
Q367566	American baseball player, manager, and coach (1925–2015)
Q1033016	American actress (born 1966)
Q522192	American poet and scholar (1914–1972)
Q312587	French chemist (1748-1822)
Q568386	French forensic scientist (1853–1914)
Q462552	French marchande de modes (1747-1813)
Q434941	Italian actress (1892-1985)
Q53009	Italian film director and screenwriter (1941–2018)
Q7442	American chemist (born 1966)
Q366464	French poet (1807–1841)
Q166023	Anglo-French military leader (1670-1734)
Q464318	British socialist, theosophist, women's rights activist, writer and orator (1847-1933)
Q75845	German astronomer and mathematician
Q310201	British engineer (1813-1898)
Q484779	French filmmaker (born 1959)
Q296434	Achaemenid satrap and pretender to throne (died 329 BC)
Q164521	Northern Irish footballer (1946–2005)
Q332081	President of Venezuela (1908-1981)
Q345571	former President of Colombia (1923-2018)
Q3438767	French aeronautical engineer (1921-2019)
Q77113	German politician (1856–1921)
Q291068	American educator and civil rights leader (1875-1955)
Q962308	English poet, writer and broadcaster (1906–1984)
Q84386	Austrian-American child psychologist and writer (1903–1990)
Q297804	French heiress, socialite and businesswoman
Q383983	American commissioner of the NHL
Q84021	French journalist (1902–1989)
Q153965	German artist, teacher, and theorist of art (1921–1986)
Q325403	Welsh politician (1897-1960)
Q335049	British economist and social reformer (1879-1963)
Q165983	the eighth Sultan of the Ottoman Empire (1481–1512)
Q36153	American singer, songwriter, record producer, and dancer (born 1981)
Q123753	Swiss broadcasting executive (1907-1981)
Q312556	American business magnate (born 1964)
Q325611	Indian nuclear physicist (1909–1966)
Q7494807	Indian journalist
Q16193958	president of Nepal
Q633252	Indian film director, producer and screenwriter
Q335161	Indian linguist, poet and writer
Q2015247	Indian playwright in Sanskrit (ca. 2nd century)
Q70813	Bangladeshi political leader (1880–1976)
Q470902	7th-century Indian mathematician
Q213385	Indian mathematician and astronomer (c.1114–1185)
Q4725343	British actress
Q2347152	Indian film director, producer and screenwriter
Q29057	Indian scholar, poet, and playwright
Q358874	religious leader of the Sikh organization Damdami Taksal (1947–1984)
Q38393	Indian playback singer (1933–2026)
Q131355	4th President and 9th Prime Minister of Pakistan (1928–1979)
Q200662	inventor and printer (990-1052)
Q153455	Bohemian-Austrian composer and violinist (1644–1704)
Q352017	Austrian-Czech footballer (1913–2001)
Q381482	Russian sinologist, historian, and missionary (1777–1853)
Q1200003	British American linguist (1926–2018)
Q6279	46th President of the United States (2021–2025)
Q1699334	American politician (1819-1900)
Q34086	Canadian singer and songwriter (born 1994)
Q191050	American editorialist, journalist, short story writer, fabulist, and satirist (1842–1914)
Q55832	Polish politician and leader of Poland (1947–1956)
Q282104	South Korean musical group; boy band
Q34816	American filmmaker (born 1951)
Q560955	English thief (1929–2013)
Q982354	Brazilian poet, journalist and translator (1865–1918)
Q493136	companion of Muhammad and first Islamic mu'azzin (c.580–640)
Q42904	Russian pop singer
Q3561001	Indian writer
Q504135	French revolutionary leader (1756-1819)
Q1348460	American choral composer (1746-1800)
Q137576	13th Librarian of Congress (1929–2018)
Q44200	American outlaw and gunfighter (1859–1881)
Q1647771	One of the Ten Blessed Companion
Q57331	sultan of Oman from 1970 to 2020 (1940–2020)
Q214964	Franco-Flemish Renaissance composer (c. 1400–1460)
Q318051	Italian cyclist
Q315526	Mauryan Emperor
Q207478	French psychologist and inventor of the first usable intelligence test (1857–1911)
Q381783	American archaeologist (1931-2011)
Q237220	American academic, explorer, treasure hunter and politician (1875–1956)
Q2113530	American Continental congressman and senator for Pennsylvania
Q76766	German physicist
Q106275	French actress, artist and dancer (born 1964)
Q283829	President of Sierra Leone since 2018
Q58328	French scientist (1774-1862)
Q288210	British traveler, writer, photographer and naturalist (1831–1904)
Q190152	American basketball player and coach (born 1956)
Q240672	American basketball player (born 1980)
Q561911	Prime Minister of Antigua and Barbuda (1910-1999)
Q1095376	American inventor (1886–1956)
Q336442	British Field Marshal 1865–1951 (1865–1951)
Q162306	king of Nepal (1945–2001)
Q3630453	Indian businessman (1894–1983)
Q450308	U.S. mathematician
Q312680	Hungarian inventor (1899–1985)
Q354335	English composer (1934–2022)
Q235946	American poet (1911–1979)
Q468234	Revolutionary and Grenada 's second Prime Minister (1979-1983)
Q500447	Syrian politician (1912-1980)
Q56158	French composer (1838–1875)
Q355228	Norse explorer, first known European discoverer of the mainland of the Americas
Q1528405	Australian politician (1911-2005)
Q164389	Norwegian physicist and meteorologist (*1862 – †1951)
Q216256	Norwegian female cross-country skier
Q42455	Icelandic singer (born 1965)
Q56157	Swedish tenor (1911–1960)
Q189408	Norwegian biathlete and cross-country skier
Q46405	Norwegian writer (1832–1910)
Q233693	American murder victim (1924-1947)
Q134541	American hip hop group from California
Q464476	American hardcore punk band
Q714534	Sauk leader
Q336444	Canadian and British newspaper publisher (born 1944)
Q1177683	Canadian paleoanthropologist (1884–1934)
Q963275	American economist (1938–1995)
Q1356596	American dentistry academic
Q459752	U.S. Supreme Court justice (1886-1971)
Q483907	American actor, comedian, singer, musician and producer (born 1969)
Q272512	Scottish physicist and chemist (1728–1799)
Q26321	Australian-American biological researcher
Q287357	English academic philosopher (born 1944)
Q184499	British physicist (1897-1974)
Q3157130	Australian cricketer (1854-1932)
Q155199	British writer and academic
Q25056945	South Korean girl group
Q10293997	American magician and illusionist
Q474980	Panamanian musician (born 1948)
Q353983	American illusionist and extreme performer
Q1570092	American drummer (1929–2019)
Q448778	American politician (1830–1893)
Q593424	Australian historian
Q231513	American speed skater
Q231082	American artist (1911-1978)
Q9545	Prime Minister of the United Kingdom from 1997 to 2007
Q320959	military commander of the Commonwealth of England (1599-1657)
Q285583	Canadian ice hockey player (1912–1995)
Q311715	American jazz drummer and bandleader (1919–1990)
Q952813	Australian general of the First and Second World Wars (1884-1951)
Q271481	French actress
Q349690	American voice actor and radio personality (1908–1989)
Q366649	French inventor and aviation pioneer
Q241094	French economist and professor
Q241755	French aeronaut
Q80966	Australian actor and producer (born 1969)
Q315210	French writer, philosopher, and literary theorist (1907–2003)
Q1331	Chilean politician and President (1790-1876)
Q509644	Colombian drug baron (1943–2013)
Q1322456	French rugby union player
Q456697	French photographer (1802–1872)
Q944176	Italian dancer, choreographer and dance teacher
Q483437	8th President of the International Federation of Association Football
Q215834	American sociologist
Q552469	American archaeologist (1887–1971)
Q115506	Swiss psychiatrist (1857–1939)
Q50825725	American livestreamer and vlogger (born 1991)
Q228909	American singer (born 1971)
Q482477	American rock band
Q49079	American journalist and television news anchor (born 1948)
Q123022	Swiss physicist (1905-1983)
Q156585	French historian (1886–1944)
Q453930	American disc jockey (1903–1967)
Q189987	Dutch-born American physicist
Q164765	Russian poet (1880–1921)
Q186691	Ukrainian footballer, coach, and politician
Q202741	American new wave band (1974–)
Q323213	Ivorian reggae singer
Q436017	American psychologist (1913–1999)
Q345612	American literary critic, scholar, and writer (1930–2019)
Q607	American businessman and politician; 108th Mayor of New York City
Q215957	American linguist (1887–1949)
Q961447	American rapper
Q153522	Prussian field marshal (1742–1819)
Q48129	Soviet marshal (1889–1938)
Q885681	Mexican professional wrestler and actor (1922-2000)
Q528943	American astronaut (born 1942)
Q18434	French politician (1872–1950)
Q441214	American children's writer (born 1938)
Q58588	German physician, naturalist, physiologist, and anthropologist (1752 – 1840)
Q1616078	English chef
Q69748	Prussian field marshal (1810-1900)
Q508392	British art historian and Soviet spy (1907-1983)
Q706891	British poet and writer (1840–1922)
Q485820	English alternative rock band
Q448957	American animator
Q21822	former Politburo member of the Chinese Communist Party
Q232449	South Korean singer, actress and songwriter
Q2525354	Jamaican reggae band
Q189766	Italian composer and cellist (1743–1805)
Q530576	Amazigh (Berber) king of Mauretania
Q152797	Italian painter and sculptor (1882-1916)
Q42402	Italian tenor and singer-songwriter (born 1958)
Q70534	German field marshal (1880–1945)
Q123071	Swiss painter, draftsman, graphic artist and sculptor (1827–1901)
Q8159	French chef (1926–2018)
Q796571	1745-1819, sixth king of the Konbaung Dynasty of Burma.
Q714462	American Controls and Communications pioneer (1905-1982)
Q190944	French jurist, witchcraft theorist and political philosopher (1529 or 1530–1596)
Q508904	Russian actor (1971-2002)
Q77017	German Christian mystic and theologian (1575-1624)
Q214826	American aviation pioneer
Q102851	Roman senator and philosopher of the early 6th century (480–524)
Q346690	1st Prime Minister of the Central African Republic autonomous territory (1910-1959)
Q353547	Great Khan of Outer Mongolia (1869–1924)
Q158250	American film director (1939–2022)
Q504824	American investor and money manager (1929–2019)
Q469875	Prime Minister of Pakistan from 1953 to 1955
Q4759583	Polish linguist
Q84241	Austrian conductor (1894-1981)
Q103854	Danish physicist (1922–2009)
Q319557	Italian writer
Q188857	French poet and critic (1636–1711)
Q76571	German physician and physiologist (1818–1896)
Q3121377	French legal scholar
Q219491	Italian poet and opera composer and librettist of Verdi's opera ''Otello'' (1842-1918)
Q2913066	Dutch-born American editor and writer
Q162708	2nd president (1966–76) and emperor (r. 1976–79) of the Central African Republic
Q297532	Chilean author
Q436176	American cornetist and jazz pioneer (1877–1931)
Q53441	duke of Poland between 1107 and 1138
Q80823	second wife of Henry VIII of England (died 1536)
Q57327	Sultan of Brunei since 1967
Q42747	German writer (1917–1985)
Q82335	American tennis coach (1931–2022)
Q10304982	38th President of the Federative Republic of Brazil from 2019 to 2023, Captain of the Brazilian Army, Federal Deputy of Brazil (1991–2019) and Councilman of the City of Rio de Janeiro (1989–1991)
Q16924	Hungarian mathematician (1802–1860)
Q184735	Bohemian mathematician and priest (1781–1848)
Q259254	American rock band
Q709936	Sicilian-born American mafioso who became the boss of the Bonanno crime family
Q7726	brother of Napoleon Bonaparte; King of Naples (1806–08) and Spain (1808–13)
Q53729	Italian mountaineer (1930–2011)
Q550179	Australian businessman, CEO of Bond Corporation Holdings Ltd. (1938 - 2015)
Q258385	Canadian astronaut
Q55190	Soviet and Russian film director, screenwriter, and actor (1920–1994)
Q4093196	Russian historian, anthropologist and Africanist
Q314712	American baseball player (born 1964)
Q156298	German and Caribbean disco and funk group
Q495980	South Korean filmmaker (born 1969)
Q57521	President of Gabon (2009–2023)
Q172083	Gabonese politician (1935–2009)
Q241732	French artist (1822-1899)
Q76326	German Lutheran pastor, theologian, anti-Nazi dissident (1906–1945)
Q313604	Filipino nationalist and revolutionary hero (1863–1897)
Q26408	French painter and printmaker (1867-1947)
Q2896167	Union Army general (1796–1878)
Q219937	American bank robbers
Q231549	Female pirate
Q834621	Irish singer-songwriter and rock musician, member of U2
Q2050319	Italian television presenter, showman and author
Q405702	French physician, botanist and explorer (1773-1858)
Q892968	American hip-hop group
Q315910	American libertarian socialist author, orator, and philosopher (1921–2006)
Q893007	American R&B/funk band
Q316661	American pioneer and frontiersman (1734–1820)
Q55277	British film director, producer and screenwriter
Q551252	American historian (1914–2004)
Q798506	American actor (1833–1893)
Q339865	British engineer (1871–1955)
Q180914	American stage actor and assassin (1838–1865)
Q253308	American actress (1898–1992)
Q309882	British Methodist preacher (1829-1912)
Q76934	German linguist (1791-1861)
Q7283700	Indian composer (1903-1981)
Q313531	Uruguayan politician and rancher (1928-2011)
Q240496	American murder
Q128655	8th prime minister of Canada (1854–1937)
Q1392194	Australian cricketer (born 1955)
Q638397	American film historian (1947–2024)
Q154356	French mathematician and politician (1871-1956)
Q104506	Swedish tennis player (born 1956)
Q251417	Danish comedian and pianist (1909–2000)
Q336432	American sculptor (1867–1941)
Q102551	American actor (1917–2012)
Q16297876	president of Chile from 2022 to 2026
Q743354	President of Ecuador from 1988 to 1992
Q18762	American astronaut (1928–2023)
Q76367	German Nazi Party official and head of the Nazi Party Chancellery (1900–1945)
Q4510	Occitan troubadour
Q164004	Russian composer, doctor and chemist (1833–1887)
Q93363	Austro-Hungarian field marshal
Q123150	Italian architect from Ticino and leading figure in Roman Baroque architecture (1599-1667), sculptor, engineer, stonemason and draughtsman (1599–1667)
Q312302	Italian magistrate killed by the Mafia (1940-1992)
Q272498	High King of Ireland
Q3229666	American businessman, co-founder of Cisco Systems
Q822329	English philosopher (1848–1923)
Q76606	German chemical engineer (1874–1940)
Q71032	German industrialist, inventor, engineer (1861-1942)
Q310757	Croat physicist (1711–1787)
Q314267	Bengali polymath, physicist, and biologist (1858–1937)
Q3348980	Indian artist (1882-1966)
Q63219	German fashion designer (1885-1948)
Q294100	French bishop and theologian (1627-1704)
Q372804	Canadian ice hockey player (1957–2022)
Q460475	philosopher and writer (born 1973)
Q894612	American musical group; sibling trio popular during the Jazz Age
Q335060	Scottish lawyer, diarist and author (1740–1795)
Q272877	Colombian painter and sculptor (1932–2023)
Q159397	South African general and politician (1862-1919)
Q212286	South African prime minister (1916–2006)
Q982121	former England Test cricketer and Test team captain, and current cricket commentator (born 1955)
Q76474	German physicist, mathematician and chemist (1891-1957)
Q354101	Italian composer, conductor, and double bass player
Q178865	Soviet chess player
Q214088	Tunisian street vendor
Q237429	heroine of the Greek War of Independence
Q180932	French painter (1703–1770)
Q314691	Algerian politician (1919–1992)
Q153911	French admiral and explorer (1729–1811)
Q483992	French academic painter (1825-1905)
Q1268017	early leader of Haitian Revolution
Q435731	Belgian-British zoologist (1858–1937), member of the Accademia delle Scienze di Torino from 1900
Q128964	French cabinetmaker (1642-1732)
Q469269	English manufacturer, industrialist, business partner of James Watt (1728–1809)
Q310855	Head of State of Algeria from 1965 to 1978
Q7758	King of France and of Navarre from 1824 to 1830 (1757–1836)
Q3340138	French neo-Latin poet; called " the elder"; grand uncle to "the younger"
Q426582	American chef and television personality (1956-2018)
Q314350	French painter and sculptor (1861–1929)
Q159409	French-American artist (1911–2010)
Q643348	Tunisian politician (1903–2000)
Q238364	American photographer (1904-1971)
Q1139570	British ballet and dance choreographer
Q448812	Danish ballet master and choreographer (1805–1879)
Q715566	Canadian ice hockey player
Q1623082	French midwife
Q2750	French actor and singer (1917–1970)
Q314650	Russian convicted illegal arms dealer
Q57308	President of Algeria from 1999 to 2019
Q57667	leader of Suriname (1980–1987, 2010–2020)
Q1257	Secretary-General of the United Nations from 1992 to 1996
Q234640	American actress (1905–1965)
Q861967	American runner, track and field coach, and businessman (1911–1999)
Q433657	nineteenth-century American pioneer, soldier, smuggler, slave trader, and land speculator, played a prominent role in the Texas Revolution
Q128868	British psychiatrist and psychoanalyst (1907–1990)
Q920331	Canadian ice hockey coach
Q332508	4th Governor of Hong Kong; hymnwriter; translator (1792-1872)
Q957661	British statistician (1919-2013)
Q455534	British land agent (1832–1897)
Q1262572	French born Mexican actress and model
Q105987	French actor (1899–1978)
Q449421	2nd President of Haiti (1776-1850)
Q134867	English filmmaker
Q73058	Canadian physicist and inventor (1924–2011)
Q214039	American hip hop group
Q651231	American rhythm & blues vocal group
Q57452	6th President of the Central African Republic
Q2125	Australian racing driver (1926–2014)
Q750975	English actress and soprano (1671-1748)
Q371914	Australian short-track speed skater
Q1210370	English Separatist leader in Leiden, Holland and in Plymouth Colony (1590-1657)
Q706204	American pharmacist, inventor of Pepsi-Cola
Q387458	British freethinker and politician (1833–1891)
Q766913	American journalist (1941–2006)
Q350236	British philosopher (1846–1924)
Q465179	American novelist and editor (1930–1999)
Q1651497	American publisher and board game designer (1836–1911)
Q207955	United States Army general (1893–1981)
Q633263	American football player and sports analyst (born 1948)
Q242332	Anglo-American poet (1612–1672)
Q187850	American photographer (c. 1823 – 1896)
Q292783	Norwegian boxer
Q238993	Brazilian-American actress
Q131729	Australian-born British physicist and X-ray crystallographer
Q2919282	American historian and political scientist (1922-2018)
Q675789	Scottish surgeon, hypnotist, and hypnotherapist (1795–1860)
Q919550	British horn player
Q698676	American filmmaker and writer (1933–2003)
Q7793	Italian architect and painter (1444–1514)
Q55294	British actor and filmmaker (born 1960)
Q971994	American writer (born 1938)
Q520840	American Supreme Court Justice (1856-1941)
Q383307	American Christian minister (1909–1965)
Q936075	American politician (1819–1889)
Q194419	British business magnate
Q505146	Mohawk leader (1742-1807)
Q153793	French painter and sculptor (1882-1963)
Q184577	American physicist (1902–1987)
Q76433	photographer, longtime companion and later wife of Adolf Hitler (1912–1945)
Q57077	German inventor and physicist (1909 Nobel Prize)
Q118755	Romanian prince and voivode of Wallachia, Transylvania and Moldavia (1558–1601)
Q173140	British automotive engineer
Q155412	American singer
Q3106664	American pediatrician
Q2856817	French chef (1895–1977)
Q319834	Italian explorer
Q453583	English classical guitarist and lutenist (1933–2020)
Q365982	American archaeologist, Egyptologist and historian (1865–1935)
Q273212	vice president of the United States from 1857 to 1861 (1821–1875)
Q193273	musician and composer from Bosnia and Herzegovina
Q289054	French actress, film director, writer and screenwriter (born 1948)
Q724396	French art thief
Q44220	Norwegian neo-Nazi terrorist and mass murderer
Q61055	German sculptor and architect (1900–1991)
Q1666	Belgian singer (1929–1978)
Q84148	Austrian composer and pianist (1931–2025)
Q219521	American actor (1894–1974)
Q717401	U.S. Supreme Court justice from 1956 to 1990
Q314911	4th-century BC Gaulish chieftain of the Senones
Q57235	German poet and novelist (1778–1842)
Q57196	German philosopher and psychologist as well as refounder of the theory of intentionality (1838–1917)
Q62830	German economist and social reformer (1844–1931)
Q378693	Italian anarchist regicide of King Umberto I of Italy (1869-1901)
Q161955	French writer and poet, co-founder of Surrealism (1896–1966)
Q57588	Hungarian-American architect (1902-1981)
Q168468	Scottish astronomer and mathematician (1781–1868)
Q364207	South African writer and painter (1939–2024)
Q179888	politician, statesman, and Nobel Peace Prize laureate from France (1862-1932)
Q153358	American actress, singer and comedian (1891–1951)
Q92624	American computer scientist
Q713423	American explorer (1804-1881)
Q174843	American actor
Q925991	British writer (1844-1930)
Q469860	American civil rights activist
Q172118	American physicist
Q3878461	American author (1928-2014)
Q335086	British mathematician
Q2750262	American psychologist
Q151814	British singer and actress
Q92764	American billionaire businessman (born 1973)
Q253476	American model and actress
Q766880	American journalist (1920–2003)
Q314984	French revolutionary (1754–1793)
Q2342198	Ossetian playwright (1881–1923)
Q4768	Russian painter (1799-1852)
Q185079	English actor (born 1949)
Q72652	American film producer (1909–1996)
Q983322	Filipino film director (1939–1991)
Q192689	Canadian physicist
Q232019	American environmental activist
Q357465	Canadian-American ice hockey player
Q7612035	American vaudeville performer (1863–1901)
Q104514	American actor
Q919527	American broadcast journalist and author (born 1940)
Q442937	French chemist, mineralogist, and zoologist (1770–1847)
Q36105	American actor (1921–2003)
Q44520	British novelist and poet (1820-1849)
Q127332	British novelist and poet (1816-1855)
Q80137	English novelist and poet (1818–1848)
Q7803	Italian Mannerist painter (1503-1572)
Q719447	Dutch musician, painter, actor, poet and media personality (1946-2001)
Q49760	English theatre and film director (1925–2022)
Q366086	English poet (1887–1915)
Q237687	English novelist and art historian (1928–2016)
Q216288	American country music singer and songwriter
Q270715	American writer (1917–2000)
Q1390562	American ice hockey player and coach (1937-2003)
Q95125	American director, writer, and producer (born 1940)
Q152779	American actress (1906–1985)
Q104266	American comedian, filmmaker, and actor (born 1926)
Q234179	English journalist
Q449239	American blues singer, songwriter and guitarist (1893–1958)
Q81520	Irish actor (born 1953)
Q1786868	American tap dancing duo
Q1346464	British boxer
Q155887	Dutch mathematician and logician (1881–1966)
Q549506	American minister (1825–1921)
Q281024	American professional makeup artist and businessperson
Q468280	American novelist, historian and editor (1771-1810)
Q155700	American singer and rapper (born 1989)
Q7345	American novelist (born 1964)
Q348719	British aviator, Royal Navy officer, test pilot, author (1919–2016)
Q642382	Scottish-born Canadian politician (1818–1880)
Q10648	Prime Minister of the United Kingdom from 2007 to 2010
Q927916	American football player and actor (1936–2023)
Q189366	American abolitionist (1800–1859)
Q298913	American planetary astronomer
Q968798	American football coach (1908–1991)
Q155764	Scottish botanist (1773-1858), discoverer of the cell nucleus and of Brownian Motion (1773–1858)
Q4096119	American theatre historian (1836–1918)
Q984087	American sports businessman (1905–1964)
Q3736354	American writer and politician (1933–2006)
Q335100	American author, psychic and medium (1936-2013)
Q313925	English polymath and author (1605–1682)
Q220520	firearms designer of the United States (1855-1926)
Q7105899	British historian (1837–1923)
Q233265	English poet and playwright (1812–1889)
Q51476	American film actor and director (1880–1962)
Q716308	British triathlete
Q1724729	English filmmaker and film historian
Q434521	American feminist and author (1935–2025)
Q108597	American jazz pianist and composer (1920–2012)
Q460876	American comedian and social critic (1925–1966)
Q23358	Australian politician, eighth Prime Minister of Australia (1883-1967)
Q209050	Flemish painter (1568–1625)
Q255828	Flemish painter (1564-1638)
Q560482	Irish revolutionary and politician (1874-1922)
Q214949	German statesman and art collector at the court of Saxony (1700-1763)
Q1320382	Danish ballet dancer (1928-1986)
Q1744169	Dutch drug lord (1953–1991)
Q561019	English man of fashion (1778–1840)
Q271676	17th-century French painter and art theorist (1619—1690)
Q155928	president of the International Olympic Committee from 1952 to 1972
Q114867	American psychologist and scholar
Q172248	assassin of Julius Caesar
Q1156604	American tennis doubles team
Q205282	American politician (1860–1925)
Q240623	American singer and activist (1940–2024)
Q25369	American basketball player (1978–2020)
Q267629	American activist and journalist (1885–1936)
Q278804	American college football coach (1913–1983)
Q336497	British academic (1838-1922)
Q102813	russian-born american actor (1920–1985)
Q316374	Russian poet, prose writer, dramatist, translator, critic and historian (1873–1924)
Q449013	American television host
Q168041	Polish-American diplomat and political scientist (1928–2017)
Q13580495	South Korean musical group; boy band
Q333632	Brazilian singer-songwriter
Q84423	German Jewish Existentialist philosopher and theologian (1878–1965)
Q184556	Ukrainian pole vaulter
Q318622	Protestant reformer
Q288716	American mobster (1899-1947)
Q12325	president of the United States from 1857 to 1861
Q205353	American economist, recipient of the Nobel Memorial Prize for Economics (1919–2013)
Q154014	German dramatist and writer of poetry and prose (1813–1837)
Q200136	American biologist
Q80900	American writer (1892–1973)
Q215855	American musician (1966–1997)
Q378098	American public intellectual, conservative author and political commentator (1925–2008)
Q599838	figure in Buddhist and East Asian religious traditions
Q714446	Thai Buddhist monk (1906–1993)
Q335247	5th-century Indian Theravada Buddhist commentator, translator and philosopher
Q53343	American tennis player (1915-2000)
Q1930289	Russian climatologist (1920–2001)
Q242474	Soviet marshal (1883-1973)
Q62831	German philosopher and scientist (1824-1899)
Q842415	ensemble of Cuban musicians
Q233247	Brazilian tennis player (1939-2018)
Q321108	Argentine singer (1973-2000)
Q202285	American frontiersman and showman (1846–1917)
Q28783	American ring announcer for boxing and professional wrestling matches
Q229264	French natural historian (1707-1788)
Q68060	former Italian footballer (born 1978)
Q361567	former President of Nigeria from 1983 to 1985 and 2015 to 2025 (born 1942–2025)
Q930082	Arab poet of Abbasid period (821–897)
Q232845	Canadian actress (born 1942)
Q17712353	President of El Salvador since 2019
Q76409	German-American writer (1920–1994)
Q557801	Irish-American gangster and crime boss (1929-2018)
Q40791	American actress and film producer
Q45439	(1849-1919) American lawman, businessman
Q60113	German and Prussian politician (1849–1929)
Q155540	German conductor and pianist (1830–1894)
Q213500	diplomat, educator, civil rights activist and the first African American Nobel Peace Prize winner (1904–1971)
Q152208	Brazilian fashion model
Q192218	American serial killer (1946–1989)
Q1009426	Aboriginal Australian
Q708853	Argentine-Canadian philosopher (1919-2020)
Q4099212	Russian poet
Q213684	Argentinian revolutionary (1937–1967)
Q660581	Thai-American conjoined twin brothers
Q44333953	Puerto Rican rapper, singer, and record producer
Q71031	German chemist (1811-1899)
Q2886803	poet (1900–1985)
Q108206	English Christian writer and preacher (1628-1688)
Q433717	British actor and theatre owner (1567–1619)
Q333419	American botanist and horticulturist (1849–1926)
